term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
ancient,0.05,3.1239297465649476,0.05000000076623342,0.05,0.05,0.05,0.05,4.17363231671931,0.05000000079248281,0.050000002899219596,0.05,0.05,0.05000000152845174,0.05,1.5748887031300807,0.05,0.5905909521237548,0.05,0.05,2.786958275438964
anger,3.560473373972754,2.071770546043912,3.3576346098799053,0.05,0.6332986259637096,1.781722508248908,0.05,22.492769193817445,0.05000034532647056,5.2162821814230185,7.509757899837837,0.05,6.8353008558820125,0.8503218306852204,18.27360361904038,0.05000000044069283,3.642055354368319,1.347212280916377,0.05000000001116058,19.12779677410471
anger face,1.0500000000251253,0.050000000199648856,1.050000000056755,0.05,0.05,0.05,0.05,0.050000000357241815,0.05,0.05,0.05,0.05,1.5348534830917389,0.05,2.565146515147525,0.05,0.050000000512622884,0.05,0.05,0.05000000058847363
angle,0.050000000128662014,0.32069920769836036,0.05,0.05,0.05,0.05000000050352771,0.05,3.7774139766535226,0.05,0.05000000307393516,0.9807036001767088,0.05,1.267831665902548,0.17172021956530115,6.700952462092353,0.050000000491423474,0.05,0.05000000009674783,0.05,4.130678863577605
animal,0.05000000148833465,1.0671354884896445,0.05,1.0500000003065673,0.050000000162912735,0.05,0.05,0.050860867316034286,2.0500000001899212,1.364686316920996,0.05003063062073225,0.05,1.9831456033237536,0.05,7.561988602162231,1.862223689292873,1.2670856124235992,0.05000000029533786,0.05,2.2428431869741114
animals,1.0500000000670244,3.1792704621100825,0.05000000020091075,0.05,0.05,0.050000000186617904,0.05,4.603829159900132,0.05000000033292194,1.1032416838453705,2.4276288140186963,0.05,2.9161419796687693,0.05,6.2738763262913215,0.05000000117002462,0.05,0.05000000013064393,0.05,1.8460115720405395
ankle,0.05000000003914147,0.05000000000192969,0.05,0.05,0.05,4.050000000173928,0.05,3.4700757689799744,2.3483020879020504,0.05000000007011685,1.9392564296250958,0.05,0.05000000003894371,0.05,4.370618645955989,0.05000000010177427,0.05,0.05,0.05,4.121747067082892
ankles,0.05000000002333791,3.659298547595964,0.05,0.05,0.05,0.050000000383442794,0.05,6.109137741464966,1.0500000000569052,1.4209566688145023,1.8243344664922942,0.05,1.0703679648731166,3.5765063046313923,4.81776945812785,0.05000001401183909,0.05,0.05,0.05,4.92162883348665
announcement,0.05,0.05000000029398513,0.05,0.05,0.05,0.05,0.05,3.7828533387355674,0.05000000035875057,0.05000000014659381,0.05,0.05,0.05000000095499814,0.05000000023906794,2.3171465970990637,0.05,1.0500000000182539,0.050000001704910244,0.05,0.05000006042203202
annoyance,0.6485390162906008,0.6781287167782166,0.05,0.05,0.05,0.05,0.05,5.107344713589457,0.05,0.05000000061272231,0.8068877024573836,0.05,0.05,0.05000000046867851,4.195672395094526,0.05,0.050000000075096564,0.050000000377760444,0.05,0.8634274542182817
