term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
spotted,-0.017382128508040474,0.009613770516987098,0.005350194467941916,0.002504478503480622,0.0009206018075646861,0.001960628979723779,2.571101163367968e-05,-0.02585155112577734,-0.0018488017858553083,0.0015891311771516264
fight,0.019585303214047656,-0.0507202989904922,0.04787096282640933,-0.02125232875773578,0.004741327473228479,-0.007329188819255375,-0.046661821085197015,0.004750185776028317,0.011609909463963747,0.036041245524049595
nervously,-0.029122521247913993,0.012272037890268822,-0.012732819689123692,0.0026163659678531894,0.0003765442059887228,0.023409321491649957,0.004840328742241394,0.0028517878601639858,-0.015125533491919177,-0.011641570624888974
weeks,0.010149386878367504,0.0068842076906308345,-0.022993410073911633,0.0005576392926664938,-0.037158475769778695,-0.028644051199986597,0.0038382618788989136,-0.03098744246795564,-0.015442625834124764,-0.029020770425682543
upstairs,0.013701189380292456,0.021239193017017814,-0.04444185608241428,0.034293711595747026,-0.030343477645312956,-0.023296968201273124,0.03348195366885843,0.008443959656213541,0.00356321767599105,0.023583311007417746
brown,-0.021117176537739018,0.01910916550980536,-0.015892157595033644,-0.012243023295013268,-0.0027822802298343736,-0.0154152613604667,0.03315689669830961,-0.013798428030933093,0.00831966963387675,-0.009458541153274606
scared,-0.0023729059319838493,-0.020743420815370377,0.0075344887212576385,0.0025318482320602176,0.017887882941947975,-0.0032160047141076863,-0.011393770328053384,0.02714343675401032,-0.004528665750430847,-0.013789385801487624
missed,0.001470978226681866,0.0020906221370639464,0.007494277626184234,0.020971565289459836,-0.003150695099309509,-0.007198149624360609,-0.005698595379078875,-0.019463083300967035,-0.0003770092181873196,-0.014768879951772262
bellowed,0.019301313259009054,-0.01686068281013696,0.026393375065860317,0.024266967514121215,-0.005948083274715511,0.0016852939430580778,0.004588096812541313,-0.002877187714610353,-0.03361005024366072,-0.012097116823676538
nasty,-0.0048205563649189875,0.01632759021161719,-0.01407075390711713,-0.003288286125086234,-0.008358002152781173,-0.009179130333103207,0.014698367151519613,0.00307631842265218,-0.0014878338990263935,0.005554695676910419
leading,0.002559386273602333,-0.008850189068454714,0.015392921880505523,-0.003954747798029759,0.004108245259048741,-0.009144619441516788,0.006467728125896934,-0.03822974941360603,-0.013415118236053722,-0.0009302381563607524
hesitated,0.016709854756657615,-0.005520135940376973,-0.01193622372053824,-0.010010598217119674,-0.010983613904197116,-0.034593225482521334,-0.03955455038611841,-0.006275021440886722,-0.00520882326240728,-0.008388828010356742
luck,-0.0064955152178052915,0.01825823529822564,0.022548022467941627,0.01513051691511222,-0.0056510544702598605,-0.014294087993695762,0.010258501682579817,-0.019373040613499353,0.0041040908293640465,-0.01999646242066359
